龜手	jun1 shou3	100%
龕子	kan1 zi5
龜殼	gui1 ke2
〇三	ling2 san1
〇九	ling2 jiu3
〇二	ling2 er4
〇五	ling2 wu3
〇八	ling2 ba1
〇六	ling2 liu4	20
〇四	ling2 si4	20%
㐖毒	xie2 du2
㐖毒	ye4 du2
㑌儴	kuang1 rang2
㑳擾	zhou4 rao3
㓖冹	bi4 fu2
㔩葉	e4 ye4 
一下	yi2 xia4
一不	yi1 bu4
一不	yi2 bu4
一世	yi1 shi4
一世	yi2 shi4
一丙	yi1 bing3
一並	yi1 bing4
不時的	bu4 shi2 de5
不景氣	bu4 jing3 qi4
不暖席	bu4 nuan3 xi2
不曉事	bu4 xiao3 shi4
不曾在	bu4 ceng2 zai4
不曾想	bu4 ceng2 xiang3
不曾有	bu4 ceng2 you3
不會不	bu2 hui4 bu2
不會不	bu2 hui4 bu4
不會了	bu2 hui4 le5
不會了	bu4 hui4 le5
不會來	bu2 hui4 lai2
不會來	bu4 hui4 lai2
不會做	bu2 hui4 zuo4
不會做	bu4 hui4 zuo4
不會像	bu2 hui4 xiang4
不會像	bu4 hui4 xiang4
不會兒	bu2 hui4 er2
不會兒	bu4 hui3 er2
不會兒	bu4 hui4 er2


肝腸崩裂	gan1 chang2 beng1 lie4
肝膽俱裂	gan1 dan3 ju4 lie4
肝膽楚越	gan1 dan3 chu3 yue4
肝膽照人	gan1 dan3 zhao4 ren2
肝膽胡越	gan1 dan3 hu2 yue4
肝膽過人	gan1 dan3 guo4 ren2
股二頭肌	gu3 er4 tou2 ji1
股份公司	gu3 fen4 gong1 si1
