ジェット機	jettoki
ジェット推進研究所	jettosuishinkenkyuusho
ジンギス汗	jingisukan
スウェーデン語	suwhe-dengo
スカッシング関数	sukasshingukansuu
驚いたことに	odoroitakotoni
ドルイド教	doruidokyou
世話のかかる	sewanokakaru
世話の掛かる	sewanokakaru
しょげ返る	shogekaeru
言ってのける	ittenokeru
言って退ける	ittenokeru
南毛鼻ウォンバット	minamikehanawhonbatto
南毛鼻ウォンバット	minamikebanawhonbatto
北毛鼻ウォンバット	kitamikehanawhonbatto
北毛鼻ウォンバット	kitakebanawhonbatto
やむ方なし	yamukatanashi
止む方なし	yamukatanashi
止むかたなし	yamukatanashi
おかず味噌	okazumiso
古ノルド語	konorudogo
郵便マーク	yuubinma-ku
振れ取り台	furetoridai
筋力トレーニング	kinryokutore-ningu
モールス信号	mo-rusushingou
観光ガイド	kankougaido
