㓦劃	bo4 hua4
㕷啦	pa1 la1
㕷噠	pa1 da2
㟏岈	han1 xia1
㲯毿	lan2 san1
㶁㶁	guo2 guo2
䀇子	gu3 zi5
䈾箕	shao1 ji1
䰀鬌	wo3 duo3
䰾魚	ba1 yu2
一一對應	yi1 yi1 dui4 ying4
一丁不識	yi4 ding1 bu2 shi4
一丁不識	yi4 ding1 bu4 shi2
一丈差九尺	yi2 zhang4 cha1 jiu3 chi3
一下兒	yi2 xia4 er5
一下子	yi2 xia4 zi5
一不小心	yi2 bu4 xiao3 xin1
一不拗眾	yi1 bu2 niu4 zhong4
一丘一壑	yi4 qiu1 yi2 huo4
一丘之貉	yi4 qiu1 zhi1 he2
一中一台	yi4 zhong1 yi4 tai2
一中一臺	yi4 zhong1 yi4 tai2
一中原則	yi4 zhong1 yuan2 ze2
一丸泥	yi4 wan2 ni2
一之為甚	yi1 zhi1 wei2 shen4
一乾二淨	yi4 gan1 er4 jing4
一了	yi4 liao3
一了心願	yi4 liao3 xin1 yuan4
一了百了	yi4 liao3 bai3 liao3
一了百當	yi4 liao3 bai3 dang1
一人做事一人當	yi4 ren2 zuo4 shi4 yi4 ren2 dang1
一人傳十	yi4 ren2 chuan2 shi2
一人傳虛	yi4 ren2 chuan2 xu1
一人得道	yi4 ren2 de2 dao4
一代楷模	yi2 dai4 kai3 mo2
一令	yi4 ling2
一以當十	yi1 yi3 dang1 shi2
一個	yi2 ge4
一個不小心	yi2 ge5 bu4 xiao3 xin1
一個中國政策	yi2 ge4 zhong1 guo2 zheng4 ce4
一個個要著地	yi2 ge4 ge4 yao4 zhuo2 di4
一個勁	yi2 ge4 jin4
一個勁兒	yi2 ge4 jin4 er5
一個富貴心	yi2 ge5 fu4 gui4 xin1
一個巴掌拍不響	yi2 ge5 ba1 zhang3 pai1 bu4 xiang3
一個樣	yi2 ge5 yang4
一個獵古調	yi2 ge5 lie4 gu3 diao4
一個碗內兩張匙	yi2 ge5 wan3 nei4 liang3 zhang1 chi2
一個鍋裡吃飯的	yi2 ge5 guo1 li3 chi1 fan4 de5
一個頭兩個大	yi2 ge5 tou2 liang3 ge5 da4
一個饅頭	yi2 ge5 man2 tou5
一個鼻孔出氣	yi2 ge5 bi2 kong3 chu1 qi4
一倡百和	yi2 chang4 bai3 he4
一側化	yi2 ce4 hua4
一傳十	yi4 chuan2 shi2
一償宿願	yi4 chang2 su4 yuan4
一刀切	yi4 dao1 qie1
一分	yi4 fen1
一分一毫	yi4 fen1 yi4 hao2
一分子	yi2 fen4 zi3
一分收穫	yi4 fen1 shou1 huo4
一分為二	yi4 fen1 wei2 er4
一分耕耘	yi4 fen1 geng1 yun2
一分行情	yi4 fen1 hang2 qing2
一分貨	yi4 fen1 huo4
一分錢	yi4 fen1 qian2
一切	yi2 qie4
一切事物	yi2 qie4 shi4 wu4
一切就緒	yi2 qie4 jiu4 xu4
一切從簡	yi2 qie4 cong2 jian3
一切現成	yi2 qie4 xian4 cheng2
一切經音義	yi2 qie4 jing1 yin1 yi4
一切眾生	yi2 qie4 zhong4 sheng1
一到處	yi2 dao4 chu4
一剎那	yi2 cha4 na4
一剗	yi2 chan4
